pick_key,game_date,player_name,prop_type,participant_join_key,participant_id,participant_source_id,participant_source_id_type,participant_name_norm,sport,market_key,market_family,team,opponent,book,bookmaker_key,event_id,odds,price,pick_side,line,market_selection_key,market_offer_key,predicted_value,predicted_strikeouts,edge,confidence_tier,pick_type,result,actual_value,actual_strikeouts,record_source,model_version,policy_version,tracking_regime,result_normalized,odds_numeric,units_risked,units_result
2026-05-20|MLB|pitcher_strikeouts|name:chris sale|under|7.5|betmgm,2026-05-20,chris sale,pitcher_k,mlbam_player:519242,mlbam_player:519242,519242,mlbam_player,chris sale,MLB,pitcher_strikeouts,player_prop,ATL,MIA,BetMGM,betmgm,ce352adc7aae36822a5575bb25b54ff8,-115,-115,under,7.5,MLB|pitcher_strikeouts|name:chris sale|under|7.5,MLB|pitcher_strikeouts|name:chris sale|under|7.5|betmgm,5.561708927154541,5.561708927154541,1.938291072845459,high,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,-115.0,0.0,
2026-05-20|MLB|pitcher_strikeouts|name:emerson hancock|under|5.5|fanduel,2026-05-20,emerson hancock,pitcher_k,mlbam_player:676106,mlbam_player:676106,676106,mlbam_player,emerson hancock,MLB,pitcher_strikeouts,player_prop,SEA,CWS,FanDuel,fanduel,b0078538407a959dc03f5469df863662,112,112,under,5.5,MLB|pitcher_strikeouts|name:emerson hancock|under|5.5,MLB|pitcher_strikeouts|name:emerson hancock|under|5.5|fanduel,3.886838436126709,3.886838436126709,1.613161563873291,high,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,112.0,0.0,
2026-05-20|MLB|pitcher_walks|name:mike burrows|under|2.5|draftkings,2026-05-20,mike burrows,pitcher_bb,mlbam_player:681347,mlbam_player:681347,681347,mlbam_player,mike burrows,MLB,pitcher_walks,player_prop,HOU,MIN,DraftKings,draftkings,831c912e2cd0016f96881ac551738e6e,-186,-186,under,2.5,MLB|pitcher_walks|name:mike burrows|under|2.5,MLB|pitcher_walks|name:mike burrows|under|2.5|draftkings,1.4197933673858643,1.4197933673858643,1.0802066326141357,medium,official,,,,run_daily_card,pitcher_bb_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,-186.0,0.0,
2026-07-04|MLB|pitcher_strikeouts|name:tomoyuki sugano|over|2.5|fanduel,2026-07-04,tomoyuki sugano,pitcher_k,mlbam_player:608372,mlbam_player:608372,608372,mlbam_player,tomoyuki sugano,MLB,pitcher_strikeouts,player_prop,COL,SF,FanDuel,fanduel,01abcc9d9a9408b8be4a4acc7dc53ec5,-154,-154,over,2.5,MLB|pitcher_strikeouts|name:tomoyuki sugano|over|2.5,MLB|pitcher_strikeouts|name:tomoyuki sugano|over|2.5|fanduel,4.20265531539917,4.20265531539917,1.70265531539917,high,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,-154.0,0.0,
2026-07-12|MLB|pitcher_strikeouts|name:michael lorenzen|over|3.5|fanduel,2026-07-12,michael lorenzen,pitcher_k,mlbam_player:547179,mlbam_player:547179,547179,mlbam_player,michael lorenzen,MLB,pitcher_strikeouts,player_prop,COL,SF,FanDuel,fanduel,9d71a179d7d4dd618d4fae5516f00d95,-140,-140,over,3.5,MLB|pitcher_strikeouts|name:michael lorenzen|over|3.5,MLB|pitcher_strikeouts|name:michael lorenzen|over|3.5|fanduel,5.226202964782715,5.226202964782715,1.7262029647827148,high,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,-140.0,0.0,
2026-07-12|MLB|pitcher_strikeouts|name:cristian javier|over|3.5|draftkings,2026-07-12,cristian javier,pitcher_k,mlbam_player:664299,mlbam_player:664299,664299,mlbam_player,cristian javier,MLB,pitcher_strikeouts,player_prop,HOU,TEX,DraftKings,draftkings,180ee18000bc994ba8c23c2ebc9ef746,112,112,over,3.5,MLB|pitcher_strikeouts|name:cristian javier|over|3.5,MLB|pitcher_strikeouts|name:cristian javier|over|3.5|draftkings,4.790118217468262,4.790118217468262,1.2901182174682617,high,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,112.0,0.0,
2026-07-12|MLB|pitcher_strikeouts|name:emmet sheehan|over|5.5|betmgm,2026-07-12,emmet sheehan,pitcher_k,mlbam_player:686218,mlbam_player:686218,686218,mlbam_player,emmet sheehan,MLB,pitcher_strikeouts,player_prop,LAD,AZ,BetMGM,betmgm,40ac03ae2d2b1dc11d41ced3f411f478,110,110,over,5.5,MLB|pitcher_strikeouts|name:emmet sheehan|over|5.5,MLB|pitcher_strikeouts|name:emmet sheehan|over|5.5|betmgm,6.403300762176514,6.403300762176514,0.9033007621765137,medium,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,110.0,0.0,
2026-07-12|MLB|pitcher_walks|name:tarik skubal|over|1.5|draftkings,2026-07-12,tarik skubal,pitcher_bb,mlbam_player:669373,mlbam_player:669373,669373,mlbam_player,tarik skubal,MLB,pitcher_walks,player_prop,DET,PHI,DraftKings,draftkings,44263373c8152cfeef60f3501f9f0cbc,170,170,over,1.5,MLB|pitcher_walks|name:tarik skubal|over|1.5,MLB|pitcher_walks|name:tarik skubal|over|1.5|draftkings,1.7640200853347778,1.7640200853347778,0.26402008533477783,high,official,,,,run_daily_card,pitcher_bb_model_v1,mlb_pitcher_walks_ev_policy_v1,current_workflow,,170.0,0.0,
2026-07-12|MLB|pitcher_walks|name:dustin may|over|1.5|draftkings,2026-07-12,dustin may,pitcher_bb,mlbam_player:669160,mlbam_player:669160,669160,mlbam_player,dustin may,MLB,pitcher_walks,player_prop,STL,ATL,DraftKings,draftkings,16afd7bc765cb79fe5e887e2e28e0b20,129,129,over,1.5,MLB|pitcher_walks|name:dustin may|over|1.5,MLB|pitcher_walks|name:dustin may|over|1.5|draftkings,2.0352394580841064,2.0352394580841064,0.5352394580841064,high,official,,,,run_daily_card,pitcher_bb_model_v1,mlb_pitcher_walks_ev_policy_v1,current_workflow,,129.0,0.0,
2026-07-21|MLB|pitcher_strikeouts|name:kyle bradish|over|5.5|fanduel,2026-07-21,kyle bradish,pitcher_k,mlbam_player:680694,mlbam_player:680694,680694,mlbam_player,kyle bradish,MLB,pitcher_strikeouts,player_prop,BAL,BOS,FanDuel,fanduel,ded163387935cca0e01c3281ff323291,110,110,over,5.5,MLB|pitcher_strikeouts|name:kyle bradish|over|5.5,MLB|pitcher_strikeouts|name:kyle bradish|over|5.5|fanduel,6.7468438148498535,6.7468438148498535,1.2468438148498535,high,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,110.0,0.0,
2026-09-13|MLB|pitcher_strikeouts|name:chase burns|over|3.5|draftkings,2026-09-13,chase burns,pitcher_k,mlbam_player:695505,mlbam_player:695505,695505,mlbam_player,chase burns,MLB,pitcher_strikeouts,player_prop,CIN,MIL,DraftKings,draftkings,1366a8adfad9998b51c129fc23c43a7e,-154,-154,over,3.5,MLB|pitcher_strikeouts|name:chase burns|over|3.5,MLB|pitcher_strikeouts|name:chase burns|over|3.5|draftkings,7.498476982116699,7.498476982116699,3.998476982116699,high,official,,,,run_daily_card,pitcher_k_model_v1,mlb_pitcher_props_policy_v1,current_workflow,,-154.0,0.0,
